Table 1
Row Labels,Count of #,,,,,,,,,,,,,,,,,,,,,,,
9001001-9002000,14,,,,,,,,,,,,,,,,,,,,,,,
9002001-9003000,18,,,,,,,,,,,,,,,,,,,,,,,
9003001-9004000,3,,,,,,,,,,,,,,,,,,,,,,,
9004001-9005000,7,,,,,,,,,,,,,,,,,,,,,,,
9005001-9006000,2,,,,,,,,,,,,,,,,,,,,,,,
9006001-9007000,4,,,,,,,,,,,,,,,,,,,,,,,
9007001-9008000,6,,,,,,,,,,,,,,,,,,,,,,,
9008001-9009000,3,,,,,,,,,,,,,,,,,,,,,,,
9009001-9010000,11,,,,,,,,,,,,,,,,,,,,,,,
9010001-9011000,7,,,,,,,,,,,,,,,,,,,,,,,
9011001-9012000,2,,,,,,,,,,,,,,,,,,,,,,,
9012001-9013000,2,,,,,,,,,,,,,,,,,,,,,,,
9013001-9014000,10,,,,,,,,,,,,,,,,,,,,,,,
9014001-9015000,21,,,,,,,,,,,,,,,,,,,,,,,
9015001-9016000,5,,,,,,,,,,,,,,,,,,,,,,,
9016001-9017000,4,,,,,,,,,,,,,,,,,,,,,,,
9017001-9018000,19,,,,,,,,,,,,,,,,,,,,,,,
9018001-9019000,4,,,,,,,,,,,,,,,,,,,,,,,
9019001-9020000,5,,,,,,,,,,,,,,,,,,,,,,,
9020001-9021000,6,,,,,,,,,,,,,,,,,,,,,,,
9021001-9022000,10,,,,,,,,,,,,,,,,,,,,,,,
9022001-9023000,5,,,,,,,,,,,,,,,,,,,,,,,
9023001-9024000,6,,,,,,,,,,,,,,,,,,,,,,,
9024001-9025000,4,,,,,,,,,,,,,,,,,,,,,,,
9025001-9026000,10,,,,,,,,,,,,,,,,,,,,,,,
9026001-9027000,7,,,,,,,,,,,,,,,,,,,,,,,
9027001-9028000,6,,,,,,,,,,,,,,,,,,,,,,,
9028001-9029000,4,,,,,,,,,,,,,,,,,,,,,,,
9030001-9031000,9,,,,,,,,,,,,,,,,,,,,,,,
9031001-9032000,1,,,,,,,,,,,,,,,,,,,,,,,
10001001-10002000,7,,,,,,,,,,,,,,,,,,,,,,,
10002001-10003000,10,,,,,,,,,,,,,,,,,,,,,,,
10003001-10004000,15,,,,,,,,,,,,,,,,,,,,,,,
10004001-10005000,6,,,,,,,,,,,,,,,,,,,,,,,
10005001-10006000,13,,,,,,,,,,,,,,,,,,,,,,,
10006001-10007000,13,,,,,,,,,,,,,,,,,,,,,,,
10007001-10008000,4,,,,,,,,,,,,,,,,,,,,,,,
10008001-10009000,15,,,,,,,,,,,,,,,,,,,,,,,
10009001-10010000,3,,,,,,,,,,,,,,,,,,,,,,,
10010001-10011000,6,,,,,,,,,,,,,,,,,,,,,,,
10011001-10012000,4,,,,,,,,,,,,,,,,,,,,,,,
10012001-10013000,10,,,,,,,,,,,,,,,,,,,,,,,
10013001-10014000,11,,,,,,,,,,,,,,,,,,,,,,,
10014001-10015000,5,,,,,,,,,,,,,,,,,,,,,,,
10015001-10016000,14,,,,,,,,,,,,,,,,,,,,,,,
10016001-10017000,2,,,,,,,,,,,,,,,,,,,,,,,
10017001-10018000,14,,,,,,,,,,,,,,,,,,,,,,,
10018001-10019000,5,,,,,,,,,,,,,,,,,,,,,,,
10019001-10020000,5,,,,,,,,,,,,,,,,,,,,,,,
10020001-10021000,14,,,,,,,,,,,,,,,,,,,,,,,
10021001-10022000,12,,,,,,,,,,,,,,,,,,,,,,,
10022001-10023000,24,,,,,,,,,,,,,,,,,,,,,,,
10023001-10024000,41,,,,,,,,,,,,,,,,,,,,,,,
10024001-10025000,7,,,,,,,,,,,,,,,,,,,,,,,
10026001-10027000,1,,,,,,,,,,,,,,,,,,,,,,,
10030001-10031000,1,,,,,,,,,,,,,,,,,,,,,,,
11001001-11002000,5,,,,,,,,,,,,,,,,,,,,,,,
11002001-11003000,1,,,,,,,,,,,,,,,,,,,,,,,
11003001-11004000,3,,,,,,,,,,,,,,,,,,,,,,,
11004001-11005000,37,,,,,,,,,,,,,,,,,,,,,,,
11005001-11006000,4,,,,,,,,,,,,,,,,,,,,,,,
11006001-11007000,25,,,,,,,,,,,,,,,,,,,,,,,
11007001-11008000,26,,,,,,,,,,,,,,,,,,,,,,,
11008001-11009000,5,,,,,,,,,,,,,,,,,,,,,,,
11009001-11010000,4,,,,,,,,,,,,,,,,,,,,,,,
11010001-11011000,17,,,,,,,,,,,,,,,,,,,,,,,
11011001-11012000,15,,,,,,,,,,,,,,,,,,,,,,,
11012001-11013000,5,,,,,,,,,,,,,,,,,,,,,,,
11013001-11014000,5,,,,,,,,,,,,,,,,,,,,,,,
11014001-11015000,7,,,,,,,,,,,,,,,,,,,,,,,
11015001-11016000,8,,,,,,,,,,,,,,,,,,,,,,,
11016001-11017000,13,,,,,,,,,,,,,,,,,,,,,,,
11017001-11018000,5,,,,,,,,,,,,,,,,,,,,,,,
11018001-11019000,8,,,,,,,,,,,,,,,,,,,,,,,
11019001-11020000,8,,,,,,,,,,,,,,,,,,,,,,,
11020001-11021000,8,,,,,,,,,,,,,,,,,,,,,,,
11021001-11022000,3,,,,,,,,,,,,,,,,,,,,,,,
11022001-11023000,12,,,,,,,,,,,,,,,,,,,,,,,
12001001-12002000,2,,,,,,,,,,,,,,,,,,,,,,,
12002001-12003000,4,,,,,,,,,,,,,,,,,,,,,,,
12003001-12004000,5,,,,,,,,,,,,,,,,,,,,,,,
12004001-12005000,12,,,,,,,,,,,,,,,,,,,,,,,
12005001-12006000,5,,,,,,,,,,,,,,,,,,,,,,,
12006001-12007000,9,,,,,,,,,,,,,,,,,,,,,,,
12007001-12008000,2,,,,,,,,,,,,,,,,,,,,,,,
12008001-12009000,4,,,,,,,,,,,,,,,,,,,,,,,
12009001-12010000,7,,,,,,,,,,,,,,,,,,,,,,,
12010001-12011000,7,,,,,,,,,,,,,,,,,,,,,,,
12011001-12012000,5,,,,,,,,,,,,,,,,,,,,,,,
12012001-12013000,11,,,,,,,,,,,,,,,,,,,,,,,
12014001-12015000,6,,,,,,,,,,,,,,,,,,,,,,,
